record_id,emr,layer_name,input_type,source_file_path,source_file_name,source_file_format,destination_file_path,destination_file_name,destination_file_format,incremental_key,last_modified_date,business_logic,load_type,delimiter,header,text_qualifier,escape,row_delimiter,frequency,attributes_name,attributes_count,is_active,created_date,last_update_date
1,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_Allergies,Database,EMR/AdvMD/Practice_ETL_ID/ehr_Allergies_Practice_ETL_ID_YYYY_MM_DD,ehr_Allergies_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,AllergyID,AllergyName,AllergyStartDate,Lastupdated",5,1,12/31/24,12/31/24
2,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_ProblemLists,Database,EMR/AdvMD/Practice_ETL_ID/ehr_ProblemLists_Practice_ETL_ID_YYYY_MM_DD,ehr_ProblemLists_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,ProblemID,ProblemOnsetDateTime,Lastupdated",4,1,12/31/24,12/31/24
3,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_ResultItems,Database,EMR/AdvMD/Practice_ETL_ID/ehr_ResultItems_Practice_ETL_ID_YYYY_MM_DD,ehr_ResultItems_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultValue,Lastupdated",3,1,12/31/24,12/31/24
4,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_ResultValues,Database,EMR/AdvMD/Practice_ETL_ID/ehr_ResultValues_Practice_ETL_ID_YYYY_MM_DD,ehr_ResultValues_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultHistoryOrdinal,Lastupdated",3,1,12/31/24,12/31/24
5,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_PatientImmunizations,Database,EMR/AdvMD/Practice_ETL_ID/ehr_PatientImmunizations_Practice_ETL_ID_YYYY_MM_DD,ehr_PatientImmunizations_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,PatientID,ProfileID,Lastupdated",4,1,12/31/24,12/31/24
6,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_Documents,Database,EMR/AdvMD/Practice_ETL_ID/ehr_Documents_Practice_ETL_ID_YYYY_MM_DD,ehr_Documents_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,ProfileID,DocumentName,Lastupdated",4,1,12/31/24,12/31/24
7,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_ResultSets,Database,EMR/AdvMD/Practice_ETL_ID/ehr_ResultSets_Practice_ETL_ID_YYYY_MM_DD,ehr_ResultSets_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultHistoryOrdinal,Lastupdated",3,1,12/31/24,12/31/24
8,AdvMD,source_to_landing,ODBC,DB_PATH,mf_ProcWriteOffCodes,Database,EMR/AdvMD/Practice_ETL_ID/mf_ProcWriteOffCodes_Practice_ETL_ID_YYYY_MM_DD,mf_ProcWriteOffCodes_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,WriteOffCode,Lastupdated",3,1,12/31/24,12/31/24
9,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_OrderTestDiagnosisCodes,Database,EMR/AdvMD/Practice_ETL_ID/ehr_OrderTestDiagnosisCodes_Practice_ETL_ID_YYYY_MM_DD,ehr_OrderTestDiagnosisCodes_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,OrderID,CreatedBy,Lastupdated",4,1,12/31/24,12/31/24
10,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_prescriptions,Database,EMR/AdvMD/Practice_ETL_ID/ehr_prescriptions_Practice_ETL_ID_YYYY_MM_DD,ehr_prescriptions_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,incremental,Null,0,Null,Null,Null,Daily,"LicenseKey,PrescriptionItemTypeID,Lastupdated",3,1,12/31/24,12/31/24
11,AdvMD,source_to_landing,ODBC,DB_PATH,ehr_results,Database,EMR/AdvMD/Practice_ETL_ID/ehr_results_Practice_ETL_ID_YYYY_MM_DD,ehr_results_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,AllergyID,AllergyName,AllergyStartDate,Lastupdated",5,1,12/31/24,12/31/24
12,AdvMD,source_to_landing,ODBC,DB_PATH,mf_procpaymentcodes,Database,EMR/AdvMD/Practice_ETL_ID/mf_procpaymentcodes_Practice_ETL_ID_YYYY_MM_DD,mf_procpaymentcodes_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,ProblemID,ProblemOnsetDateTime,Lastupdated",4,1,12/31/24,12/31/24
13,AdvMD,source_to_landing,ODBC,DB_PATH,actv_PaymentDetailReason,Database,EMR/AdvMD/Practice_ETL_ID/actv_PaymentDetailReason_Practice_ETL_ID_YYYY_MM_DD,actv_PaymentDetailReason_Practice_ETL_ID_YYYY_MM_DD,csv,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultValue,Lastupdated",3,1,12/31/24,12/31/24
14,AdvMD,source_to_landing,ODBC,DB_PATH,mf_languages,Database,EMR/AdvMD/Practice_ETL_ID/mf_languages_Practice_ETL_ID_YYYY_MM_DD,mf_languages_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultHistoryOrdinal,Lastupdated",3,1,12/31/24,12/31/24
15,AdvMD,source_to_landing,ODBC,DB_PATH,pt_PatientInfo,Database,EMR/AdvMD/Practice_ETL_ID/pt_PatientInfo_Practice_ETL_ID_YYYY_MM_DD,pt_PatientInfo_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,PatientID,ProfileID,Lastupdated",4,1,12/31/24,12/31/24
16,AdvMD,source_to_landing,ODBC,DB_PATH,mf_PGProviders,Database,EMR/AdvMD/Practice_ETL_ID/mf_PGProviders_Practice_ETL_ID_YYYY_MM_DD,mf_PGProviders_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,ProfileID,DocumentName,Lastupdated",4,1,12/31/24,12/31/24
17,AdvMD,source_to_landing,ODBC,DB_PATH,mf_PaymentReasons,Database,EMR/AdvMD/Practice_ETL_ID/mf_PaymentReasons_Practice_ETL_ID_YYYY_MM_DD,mf_PaymentReasons_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,ResultHistoryOrdinal,Lastupdated",3,1,12/31/24,12/31/24
18,AdvMD,source_to_landing,ODBC,DB_PATH,mf_diagnosiscodes,Database,EMR/AdvMD/Practice_ETL_ID/mf_diagnosiscodes_Practice_ETL_ID_YYYY_MM_DD,mf_diagnosiscodes_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,WriteOffCode,Lastupdated",3,1,12/31/24,12/31/24
19,AdvMD,source_to_landing,ODBC,DB_PATH,mf_carriercategories,Database,EMR/AdvMD/Practice_ETL_ID/mf_carriercategories_Practice_ETL_ID_YYYY_MM_DD,mf_carriercategories_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,OrderID,CreatedBy,Lastupdated",4,1,12/31/24,12/31/24
20,AdvMD,source_to_landing,ODBC,DB_PATH,mf_facilities,Database,EMR/AdvMD/Practice_ETL_ID/mf_facilities_Practice_ETL_ID_YYYY_MM_DD,mf_facilities_Practice_ETL_ID_YYYY_MM_DD,snappy.parquet,Lastupdated,1/9/25,0,full,Null,0,Null,Null,Null,Daily,"LicenseKey,PrescriptionItemTypeID,Lastupdated",3,1,12/31/24,12/31/24