Record_id,File_id,EMR,Layer_Name,Source_Schema,Source_Table_Name,Source_Table_Name_dummy,Source_column_id,Source_column_data_type,Source_default_value,Target_Schema,Target_table,Target_table_dummy,Target_column_id,Target_column_data_type,Primary_key,Load_type,Isactive,Created_date
1,1,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Code,INT,,Silver,Allergy,AdvMD_Allergy,Allergy Code,INT,Allergy ID,Incremental,1,
2,2,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,LicenseKey,INT,,Silver,Allergy,AdvMD_Allergy,BUSINESS_ID,INT,Allergy ID,Incremental,1,
3,3,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy ID,INT,Null,Silver,Allergy,AdvMD_Allergy,Allergy ID,INT,Allergy ID,Incremental,1,
4,4,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Concept Type,INT,,Silver,Allergy,AdvMD_Allergy,Allergy Concept Type,INT,Allergy ID,Incremental,1,
5,5,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Type,STRING,,Silver,Allergy,AdvMD_Allergy,Type,STRING,Allergy ID,Incremental,1,
6,6,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Patient ID,INT,,Silver,Allergy,AdvMD_Allergy,Patient ID,INT,Allergy ID,Incremental,1,
7,7,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Name,STRING,,Silver,Allergy,AdvMD_Allergy,Allergy Name,STRING,Allergy ID,Incremental,1,
8,8,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Onset Date,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Onset Date,DATE,Allergy ID,Incremental,1,
9,9,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Reaction Name,STRING,,Silver,Allergy,AdvMD_Allergy,Allergy Reaction Name,STRING,Allergy ID,Incremental,1,
10,10,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Created By,STRING,,Silver,Allergy,AdvMD_Allergy,Created By,STRING,Allergy ID,Incremental,1,
11,11,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,RxNorm Code,STRING,,Silver,Allergy,AdvMD_Allergy,RxNorm Code,STRING,Allergy ID,Incremental,1,
12,12,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Created Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Created Datetime,TIMESTAMP,Allergy ID,Incremental,1,
13,13,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deactivated By,STRING,,Silver,Allergy,AdvMD_Allergy,Deactivated By,STRING,Allergy ID,Incremental,1,
14,14,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deactivated Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Deactivated Datetime,TIMESTAMP,Allergy ID,Incremental,1,
15,15,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deleted By,STRING,,Silver,Allergy,AdvMD_Allergy,Deleted By,STRING,Allergy ID,Incremental,1,
16,16,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deleted Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Deleted Datetime,TIMESTAMP,Allergy ID,Incremental,1,
17,17,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Last Modified By,STRING,,Silver,Allergy,AdvMD_Allergy,Last Modified By,STRING,Allergy ID,Incremental,1,
18,18,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Reactivated Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Reactivated Datetime,TIMESTAMP,Allergy ID,Incremental,1,
19,19,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Reactivated By,STRING,,Silver,Allergy,AdvMD_Allergy,Reactivated By,STRING,Allergy ID,Incremental,1,
20,20,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Last Modified Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Last Modified Datetime,TIMESTAMP,Allergy ID,Incremental,1,
21,21,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Note,STRING,,Silver,Allergy,AdvMD_Allergy,Note,STRING,Allergy ID,Incremental,1,
22,22,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,ETLBatchID,INT,Allergy ID,Incremental,1,
23,23,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,ETLBatchTS,TIMESTAMP,Allergy ID,Incremental,1,
24,24,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,ETLOriginalTS,TIMESTAMP,Allergy ID,Incremental,1,
25,25,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,Chart ID,INT,Allergy ID,Incremental,1,
26,26,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,CONTEXT_NAME,STRING,Allergy ID,Incremental,1,
27,27,AdvMD,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,CONTEXT_PARENTCONTEXTID,,Allergy ID,Incremental,1,
28,1,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Code,INT,,Silver,Allergy,Athena_Allergy,Allergy Code,INT,Allergy ID,Incremental,1,
29,2,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,CONTEXT_ID,INT,,Silver,Allergy,Athena_Allergy,BUSINESS_ID,INT,Allergy ID,Incremental,1,
30,3,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,CONTEXT_NAME,STRING,,Silver,Allergy,Athena_Allergy,CONTEXT_NAME,STRING,Allergy ID,Incremental,1,
31,4,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Concept Type,INT,,Silver,Allergy,Athena_Allergy,Allergy Concept Type,INT,Allergy ID,Incremental,1,
32,5,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy ID,INT,,Silver,Allergy,Athena_Allergy,Allergy ID,INT,Allergy ID,Incremental,1,
33,6,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,CONTEXT_PARENTCONTEXTID,INT,,Silver,Allergy,Athena_Allergy,CONTEXT_PARENTCONTEXTID,INT,Allergy ID,Incremental,1,
34,7,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Name,STRING,,Silver,Allergy,Athena_Allergy,Allergy Name,STRING,Allergy ID,Incremental,1,
35,8,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Allergy Reaction Name,STRING,,Silver,Allergy,Athena_Allergy,Allergy Reaction Name,STRING,Allergy ID,Incremental,1,
36,9,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Type,STRING,,Silver,Allergy,Athena_Allergy,Type,STRING,Allergy ID,Incremental,1,
37,10,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Patient ID,INT,,Silver,Allergy,Athena_Allergy,Patient ID,INT,Allergy ID,Incremental,1,
38,11,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Chart ID,INT,,Silver,Allergy,Athena_Allergy,Chart ID,INT,Allergy ID,Incremental,1,
39,12,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Created By,STRING,,Silver,Allergy,Athena_Allergy,Created By,STRING,Allergy ID,Incremental,1,
40,13,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Created Datetime,TIMESTAMP,,Silver,Allergy,Athena_Allergy,Created Datetime,TIMESTAMP,Allergy ID,Incremental,1,
41,14,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,RxNorm Code,STRING,,Silver,Allergy,Athena_Allergy,RxNorm Code,STRING,Allergy ID,Incremental,1,
42,15,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deactivated By,STRING,,Silver,Allergy,Athena_Allergy,Deactivated By,STRING,Allergy ID,Incremental,1,
43,16,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deactivated Datetime,TIMESTAMP,,Silver,Allergy,Athena_Allergy,Deactivated Datetime,TIMESTAMP,Allergy ID,Incremental,1,
44,17,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deleted By,STRING,,Silver,Allergy,Athena_Allergy,Deleted By,STRING,Allergy ID,Incremental,1,
45,18,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Onset Date,DATE,,Silver,Allergy,Athena_Allergy,Onset Date,DATE,Allergy ID,Incremental,1,
46,19,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Deleted Datetime,TIMESTAMP,,Silver,Allergy,Athena_Allergy,Deleted Datetime,TIMESTAMP,Allergy ID,Incremental,1,
47,20,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Note,STRING,,Silver,Allergy,Athena_Allergy,Note,STRING,Allergy ID,Incremental,1,
48,21,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Reactivated By,STRING,,Silver,Allergy,Athena_Allergy,Reactivated By,STRING,Allergy ID,Incremental,1,
49,22,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,Reactivated Datetime,TIMESTAMP,,Silver,Allergy,Athena_Allergy,Reactivated Datetime,TIMESTAMP,Allergy ID,Incremental,1,
50,23,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,Athena_Allergy,ETLBatchID,INT,Allergy ID,Incremental,1,
51,24,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,Athena_Allergy,ETLBatchTS,TIMESTAMP,Allergy ID,Incremental,1,
52,25,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,Athena_Allergy,ETLOriginalTS,TIMESTAMP,Allergy ID,Incremental,1,
53,26,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,Athena_Allergy,Last Modified By,STRING,Allergy ID,Incremental,1,
54,27,Athena,Bronze_to_silver_layer,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,Athena_Allergy,Last Modified Datetime,TIMESTAMP,Allergy ID,Incremental,1,
55,1,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,LicenseKey,INT,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,LicenseKey,INT,Appointment Type ID,Incremental,1,
56,2,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,AppoinmentTypeID,INT,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,AppoinmentTypeID,INT,Appointment Type ID,Incremental,1,
57,3,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Appoinment_Type_Name,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Appoinment_Type_Name,STRING,Appointment Type ID,Incremental,1,
58,4,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Appointment Type Short Name,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Appointment Type Short Name,STRING,Appointment Type ID,Incremental,1,
59,5,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Duration,INT,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Duration,INT,Appointment Type ID,Incremental,1,
60,6,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Patient YN,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Patient YN,STRING,Appointment Type ID,Incremental,1,
61,7,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Appointment Type Class,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Appointment Type Class,STRING,Appointment Type ID,Incremental,1,
62,8,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Created Datetime,TIMESTAMP,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Created Datetime,TIMESTAMP,Appointment Type ID,Incremental,1,
63,9,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Created By,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Created By,STRING,Appointment Type ID,Incremental,1,
64,10,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Deleted Datetime,TIMESTAMP,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Deleted Datetime,TIMESTAMP,Appointment Type ID,Incremental,1,
65,11,AdvMD,Bronze_to_silver_layer,Bronze,AppointmentType,AdvMD_Calc_AppointmentType,Dateled By,STRING,,Silver,AppointmentType,AdvMD_Calc_AppointmentType,Dateled By,STRING,Appointment Type ID,Incremental,1,
66,1,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Appointment Type Class,STRING,,Silver,AppointmentType,Athena_appointmenttype,Appointment Type Class,STRING,Appointment Type ID,Incremental,1,
67,2,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,BUSINESS_ID,INT,,Silver,AppointmentType,Athena_appointmenttype,BUSINESS_ID,INT,Appointment Type ID,Incremental,1,
68,3,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,CONTEXT_NAME,STRING,,Silver,AppointmentType,Athena_appointmenttype,CONTEXT_NAME,STRING,Appointment Type ID,Incremental,1,
69,4,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Appointment Type ID,INT,,Silver,AppointmentType,Athena_appointmenttype,Appointment Type ID,INT,Appointment Type ID,Incremental,1,
70,5,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Appointment Type Name,STRING,,Silver,AppointmentType,Athena_appointmenttype,Appointment Type Name,STRING,Appointment Type ID,Incremental,1,
71,6,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,CONTEXT_PARENTCONTEXTID,INT,,Silver,AppointmentType,Athena_appointmenttype,CONTEXT_PARENTCONTEXTID,INT,Appointment Type ID,Incremental,1,
72,7,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Appointment Type Short Name,STRING,,Silver,AppointmentType,Athena_appointmenttype,Appointment Type Short Name,STRING,Appointment Type ID,Incremental,1,
73,8,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Canonical Appointment Type ID,INT,,Silver,AppointmentType,Athena_appointmenttype,Canonical Appointment Type ID,INT,Appointment Type ID,Incremental,1,
74,9,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Duration,INT,,Silver,AppointmentType,Athena_appointmenttype,Duration,INT,Appointment Type ID,Incremental,1,
75,10,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Patient YN,STRING,,Silver,AppointmentType,Athena_appointmenttype,Patient YN,STRING,Appointment Type ID,Incremental,1,
76,11,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Created By,STRING,,Silver,AppointmentType,Athena_appointmenttype,Created By,STRING,Appointment Type ID,Incremental,1,
77,12,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Created Datetime,TIMESTAMP,,Silver,AppointmentType,Athena_appointmenttype,Created Datetime,TIMESTAMP,Appointment Type ID,Incremental,1,
78,13,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Deleted By,STRING,,Silver,AppointmentType,Athena_appointmenttype,Deleted By,STRING,Appointment Type ID,Incremental,1,
79,14,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,Deleted Datetime,TIMESTAMP,,Silver,AppointmentType,Athena_appointmenttype,Deleted Datetime,TIMESTAMP,Appointment Type ID,Incremental,1,
80,15,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,,,,Silver,AppointmentType,Athena_appointmenttype,ETLBatchID,INT,Appointment Type ID,Incremental,1,
81,16,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,,,,Silver,AppointmentType,Athena_appointmenttype,ETLBatchTS,STRING,Appointment Type ID,Incremental,1,
82,17,Athena,Bronze_to_silver_layer,Bronze,AppointmentType,Athena_appointmenttype,,,,Silver,AppointmentType,Athena_appointmenttype,ETLOriginalTS,STRING,Appointment Type ID,Incremental,1,